datetime,kWh
1,2380.0042221479684
2,2120.5254775025064
3,2279.945291496489
4,1977.050012478014
5,1615.0724622590594
6,1343.4996896250686
7,1678.1814498925157
8,1764.2481478199945
9,1965.9194721481517
10,2203.0937833672897
11,2467.256611953638
12,1881.6737631803217
